,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun,svc_basic,svc_filtered,svc_noun
0,0.792168674699,0.78313253012,0.801204819277,0.734939759036,0.743975903614,0.704819277108,0.765060240964,0.774096385542,0.780120481928
1,0.788961038961,0.805194805195,0.798701298701,0.75,0.75,0.727272727273,0.792207792208,0.801948051948,0.795454545455
2,0.811728395062,0.805555555556,0.777777777778,0.780864197531,0.768518518519,0.743827160494,0.805555555556,0.814814814815,0.774691358025
3,0.784194528875,0.781155015198,0.772036474164,0.726443768997,0.720364741641,0.723404255319,0.772036474164,0.796352583587,0.784194528875
4,0.807189542484,0.839869281046,0.820261437908,0.787581699346,0.813725490196,0.787581699346,0.813725490196,0.807189542484,0.754901960784
5,0.803468208092,0.820809248555,0.823699421965,0.757225433526,0.78612716763,0.765895953757,0.78901734104,0.803468208092,0.809248554913
6,0.818181818182,0.834415584416,0.837662337662,0.775974025974,0.785714285714,0.805194805195,0.811688311688,0.837662337662,0.831168831169
7,0.813253012048,0.807228915663,0.789156626506,0.753012048193,0.753012048193,0.728915662651,0.795180722892,0.798192771084,0.771084337349
8,0.801261829653,0.813880126183,0.804416403785,0.750788643533,0.769716088328,0.757097791798,0.804416403785,0.798107255521,0.798107255521
9,0.807453416149,0.810559006211,0.785714285714,0.788819875776,0.77950310559,0.732919254658,0.791925465839,0.788819875776,0.773291925466
