,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun
0,0.707831325301,0.713855421687,0.725903614458,0.861445783133,0.867469879518,0.831325301205
1,0.724025974026,0.730519480519,0.701298701299,0.844155844156,0.834415584416,0.814935064935
2,0.734567901235,0.728395061728,0.688271604938,0.891975308642,0.873456790123,0.820987654321
3,0.714285714286,0.711246200608,0.671732522796,0.826747720365,0.835866261398,0.77811550152
4,0.692810457516,0.679738562092,0.676470588235,0.797385620915,0.790849673203,0.813725490196
5,0.693641618497,0.708092485549,0.736994219653,0.846820809249,0.852601156069,0.806358381503
6,0.707792207792,0.74025974026,0.727272727273,0.847402597403,0.850649350649,0.805194805195
7,0.671686746988,0.707831325301,0.689759036145,0.819277108434,0.846385542169,0.795180722892
8,0.684542586751,0.671924290221,0.656151419558,0.858044164038,0.870662460568,0.81072555205
9,0.686335403727,0.695652173913,0.686335403727,0.888198757764,0.878881987578,0.826086956522
