,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun
0,0.816265060241,0.819277108434,0.831325301205,0.990963855422,0.990963855422,0.96686746988
1,0.834415584416,0.831168831169,0.821428571429,0.987012987013,0.983766233766,0.967532467532
2,0.854938271605,0.845679012346,0.817901234568,0.990740740741,0.978395061728,0.962962962963
3,0.814589665653,0.814589665653,0.790273556231,0.984802431611,0.981762917933,0.957446808511
4,0.816993464052,0.803921568627,0.794117647059,0.983660130719,0.980392156863,0.980392156863
5,0.820809248555,0.817919075145,0.835260115607,0.994219653179,0.991329479769,0.976878612717
6,0.853896103896,0.840909090909,0.853896103896,0.980519480519,0.967532467532,0.964285714286
7,0.777108433735,0.795180722892,0.765060240964,0.975903614458,0.969879518072,0.96686746988
8,0.81072555205,0.804416403785,0.794952681388,0.990536277603,0.981072555205,0.955835962145
9,0.816770186335,0.835403726708,0.832298136646,0.993788819876,0.987577639752,0.978260869565
