,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun
0,0.66265060241,0.668674698795,0.668674698795,0.864457831325,0.85843373494,0.78313253012
1,0.662337662338,0.652597402597,0.626623376623,0.847402597403,0.853896103896,0.798701298701
2,0.679012345679,0.663580246914,0.62962962963,0.885802469136,0.885802469136,0.783950617284
3,0.650455927052,0.659574468085,0.61094224924,0.820668693009,0.817629179331,0.759878419453
4,0.653594771242,0.617647058824,0.617647058824,0.823529411765,0.823529411765,0.781045751634
5,0.656069364162,0.658959537572,0.676300578035,0.85549132948,0.829479768786,0.763005780347
6,0.675324675325,0.701298701299,0.662337662338,0.853896103896,0.853896103896,0.798701298701
7,0.626506024096,0.647590361446,0.60843373494,0.849397590361,0.831325301205,0.756024096386
8,0.624605678233,0.621451104101,0.596214511041,0.8738170347,0.864353312303,0.804416403785
9,0.642857142857,0.664596273292,0.630434782609,0.875776397516,0.875776397516,0.788819875776
