,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun
0,0.692771084337,0.692771084337,0.680722891566,0.846385542169,0.816265060241,0.810240963855
1,0.701298701299,0.701298701299,0.672077922078,0.850649350649,0.824675324675,0.818181818182
2,0.697530864198,0.728395061728,0.651234567901,0.858024691358,0.848765432099,0.799382716049
3,0.665653495441,0.674772036474,0.647416413374,0.814589665653,0.814589665653,0.762917933131
4,0.705882352941,0.705882352941,0.640522875817,0.859477124183,0.846405228758,0.826797385621
5,0.679190751445,0.699421965318,0.670520231214,0.826589595376,0.829479768786,0.812138728324
6,0.711038961039,0.720779220779,0.691558441558,0.866883116883,0.844155844156,0.857142857143
7,0.653614457831,0.647590361446,0.653614457831,0.822289156627,0.810240963855,0.756024096386
8,0.652996845426,0.671924290221,0.630914826498,0.829652996845,0.832807570978,0.794952681388
9,0.686335403727,0.708074534161,0.655279503106,0.860248447205,0.847826086957,0.807453416149
