,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun,svc_basic,svc_filtered,svc_noun
0,0.834337349398,0.813253012048,0.822289156627,0.846385542169,0.801204819277,0.849397590361,0.765060240964,0.765060240964,0.795180722892
1,0.827922077922,0.808441558442,0.827922077922,0.811688311688,0.798701298701,0.876623376623,0.782467532468,0.814935064935,0.795454545455
2,0.842592592593,0.817901234568,0.814814814815,0.845679012346,0.83024691358,0.861111111111,0.817901234568,0.83024691358,0.817901234568
3,0.829787234043,0.808510638298,0.802431610942,0.799392097264,0.796352583587,0.826747720365,0.802431610942,0.80547112462,0.811550151976
4,0.866013071895,0.826797385621,0.830065359477,0.846405228758,0.849673202614,0.875816993464,0.81045751634,0.81045751634,0.807189542484
5,0.835260115607,0.835260115607,0.861271676301,0.820809248555,0.812138728324,0.791907514451,0.800578034682,0.800578034682,0.846820809249
6,0.844155844156,0.837662337662,0.844155844156,0.837662337662,0.811688311688,0.805194805195,0.792207792208,0.811688311688,0.824675324675
7,0.85843373494,0.810240963855,0.813253012048,0.852409638554,0.819277108434,0.762048192771,0.807228915663,0.780120481928,0.78313253012
8,0.83596214511,0.817034700315,0.82334384858,0.845425867508,0.804416403785,0.779179810726,0.791798107256,0.788643533123,0.817034700315
9,0.829192546584,0.82298136646,0.826086956522,0.872670807453,0.819875776398,0.860248447205,0.788819875776,0.791925465839,0.804347826087
