,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun,svc_basic,svc_filtered,svc_noun
0,0.807228915663,0.813253012048,0.822289156627,0.819277108434,0.801204819277,0.849397590361,0.762048192771,0.765060240964,0.795180722892
1,0.801948051948,0.808441558442,0.827922077922,0.811688311688,0.798701298701,0.876623376623,0.792207792208,0.814935064935,0.795454545455
2,0.814814814815,0.817901234568,0.814814814815,0.833333333333,0.83024691358,0.861111111111,0.824074074074,0.83024691358,0.817901234568
3,0.80547112462,0.808510638298,0.802431610942,0.781155015198,0.796352583587,0.826747720365,0.787234042553,0.80547112462,0.811550151976
4,0.839869281046,0.826797385621,0.830065359477,0.849673202614,0.849673202614,0.875816993464,0.807189542484,0.81045751634,0.807189542484
5,0.809248554913,0.835260115607,0.861271676301,0.826589595376,0.812138728324,0.791907514451,0.78901734104,0.800578034682,0.846820809249
6,0.821428571429,0.837662337662,0.844155844156,0.821428571429,0.811688311688,0.805194805195,0.792207792208,0.811688311688,0.824675324675
7,0.834337349398,0.810240963855,0.813253012048,0.834337349398,0.819277108434,0.762048192771,0.807228915663,0.780120481928,0.78313253012
8,0.817034700315,0.817034700315,0.82334384858,0.826498422713,0.804416403785,0.779179810726,0.794952681388,0.788643533123,0.817034700315
9,0.807453416149,0.82298136646,0.826086956522,0.847826086957,0.819875776398,0.860248447205,0.782608695652,0.791925465839,0.804347826087
