,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun,svc_basic,svc_filtered,svc_noun
0,0.89156626506,0.78313253012,0.801204819277,0.975903614458,0.743975903614,0.704819277108,0.801204819277,0.774096385542,0.780120481928
1,0.876623376623,0.805194805195,0.798701298701,0.967532467532,0.75,0.727272727273,0.801948051948,0.801948051948,0.795454545455
2,0.898148148148,0.805555555556,0.777777777778,0.975308641975,0.768518518519,0.743827160494,0.845679012346,0.814814814815,0.774691358025
3,0.872340425532,0.781155015198,0.772036474164,0.9726443769,0.720364741641,0.723404255319,0.817629179331,0.796352583587,0.784194528875
4,0.918300653595,0.839869281046,0.820261437908,0.970588235294,0.813725490196,0.787581699346,0.826797385621,0.807189542484,0.754901960784
5,0.901734104046,0.820809248555,0.823699421965,0.979768786127,0.78612716763,0.765895953757,0.829479768786,0.803468208092,0.809248554913
6,0.915584415584,0.834415584416,0.837662337662,0.974025974026,0.785714285714,0.805194805195,0.824675324675,0.837662337662,0.831168831169
7,0.921686746988,0.807228915663,0.789156626506,0.975903614458,0.753012048193,0.728915662651,0.83734939759,0.798192771084,0.771084337349
8,0.883280757098,0.813880126183,0.804416403785,0.965299684543,0.769716088328,0.757097791798,0.820189274448,0.798107255521,0.798107255521
9,0.906832298137,0.810559006211,0.785714285714,0.981366459627,0.77950310559,0.732919254658,0.83850931677,0.788819875776,0.773291925466
