,logistic_basic,logistic_filtered,logistic_noun,multinomial_basic,multinomial_filtered,multinomial_noun,svc_basic,svc_filtered,svc_noun
0,0.807228915663,0.807228915663,0.807228915663,0.819277108434,0.819277108434,0.819277108434,0.762048192771,0.762048192771,0.762048192771
1,0.801948051948,0.801948051948,0.801948051948,0.811688311688,0.811688311688,0.811688311688,0.792207792208,0.792207792208,0.792207792208
2,0.814814814815,0.814814814815,0.814814814815,0.833333333333,0.833333333333,0.833333333333,0.824074074074,0.824074074074,0.824074074074
3,0.80547112462,0.80547112462,0.80547112462,0.781155015198,0.781155015198,0.781155015198,0.787234042553,0.787234042553,0.787234042553
4,0.843137254902,0.843137254902,0.843137254902,0.849673202614,0.849673202614,0.849673202614,0.807189542484,0.807189542484,0.807189542484
5,0.809248554913,0.809248554913,0.809248554913,0.826589595376,0.826589595376,0.826589595376,0.78901734104,0.78901734104,0.78901734104
6,0.821428571429,0.821428571429,0.821428571429,0.821428571429,0.821428571429,0.821428571429,0.792207792208,0.792207792208,0.792207792208
7,0.834337349398,0.834337349398,0.834337349398,0.834337349398,0.834337349398,0.834337349398,0.807228915663,0.807228915663,0.807228915663
8,0.817034700315,0.817034700315,0.817034700315,0.826498422713,0.826498422713,0.826498422713,0.794952681388,0.794952681388,0.794952681388
9,0.807453416149,0.807453416149,0.807453416149,0.847826086957,0.847826086957,0.847826086957,0.782608695652,0.782608695652,0.782608695652
