,b_ksvm10_f1,b_ksvm10_precision,b_ksvm10_recall,b_ksvm1_f1,b_ksvm1_precision,b_ksvm1_recall,f_ksvm10_f1,f_ksvm10_precision,f_ksvm10_recall,f_ksvm1_f1,f_ksvm1_precision,f_ksvm1_recall
0,0.798065296252,0.6666666666666666,0.993975903614,0.108423686405,0.541666666667,0.0602409638554,0.0235530662071,0.522292993631,0.0120481927711,0.127809668718,0.550983899821,0.0722891566265
1,0.0128135337716,0.47962382445141066,0.00649350649351,0.125,0.5,0.0714285714286,0.0252911813644,0.481012658228,0.012987012987,0.144815326881,0.509025270758,0.0844155844156
2,0.012197662746,0.5086887835703001,0.00617283950617,0.115652007961,0.536283185841,0.0648148148148,0.0181890299184,0.511146496815,0.00925925925926,0.139757210628,0.540834845735,0.0802469135802
3,0.0352251556323,0.5143312101910829,0.0182370820669,0.155565768594,0.529203539823,0.0911854103343,0.0179212783112,0.51746031746,0.00911854103343,0.169334916659,0.543119266055,0.100303951368
4,0.00649164068237,0.478806907378336,0.00326797385621,0.130200832133,0.486254295533,0.0751633986928,0.0254497956432,0.479365079365,0.0130718954248,0.163352272727,0.489361702128,0.0980392156863
5,0.0,infinite,1.0,0.137088559241,0.563604240283,0.0780346820809,0.666023166023,0.5,0.99710982659,0.158982310686,0.565765765766,0.0924855491329
6,0.00645018961877,0.48346456692913387,0.00324675324675,0.0888381306598,0.505172413793,0.0487012987013,0.0190957185938,0.483359746434,0.00974025974026,0.120327021173,0.511586452763,0.0681818181818
7,0.0,0.0,1.0,0.154668214487,0.536412078153,0.0903614457831,0.0119103475656,0.520504731861,0.00602409638554,0.163599182004,0.540540540541,0.0963855421687
8,0.0,0.49608763693270735,0.0,0.102314528777,0.516407599309,0.0567823343849,0.00626946808722,0.498422712934,0.00315457413249,0.122389326293,0.517543859649,0.0694006309148
9,0.0,0.5023400936037441,0.0,0.1060543259,0.523316062176,0.0590062111801,0.0,0.507886435331,0.0,0.144708992306,0.527728085868,0.083850931677
