,b_ksvm10_f1,b_ksvm10_precision,b_ksvm10_recall,b_ksvm1_f1,b_ksvm1_precision,b_ksvm1_recall,f_ksvm10_f1,f_ksvm10_precision,f_ksvm10_recall,f_ksvm1_f1,f_ksvm1_precision,f_ksvm1_recall
0,0.798065296252,0.6666666666666666,0.993975903614,0.103483677873,0.539655172414,0.0572289156627,0.0235530662071,0.522292993631,0.0120481927711,0.118203719431,0.546737213404,0.066265060241
1,0.0128135337716,0.47962382445141066,0.00649350649351,0.119949846754,0.498263888889,0.0681818181818,0.0252911813644,0.481012658228,0.012987012987,0.139975665008,0.508078994614,0.0811688311688
2,0.012197662746,0.5086887835703001,0.00617283950617,0.115563788923,0.532513181019,0.0648148148148,0.0181890299184,0.511146496815,0.00925925925926,0.13498749447,0.538738738739,0.0771604938272
3,0.0352251556323,0.5143312101910829,0.0182370820669,0.151116437821,0.529100529101,0.0881458966565,0.0179212783112,0.51746031746,0.00911854103343,0.160575694632,0.542805100182,0.0942249240122
4,0.00649164068237,0.478806907378336,0.00326797385621,0.130170888038,0.485420240137,0.0751633986928,0.0254497956432,0.479365079365,0.0130718954248,0.158792599035,0.489399293286,0.0947712418301
5,0.0,infinite,1.0,0.128101779058,0.564147627417,0.0722543352601,0.666023166023,0.5,0.99710982659,0.150421274773,0.567324955117,0.0867052023121
6,0.00645018961877,0.48346456692913387,0.00324675324675,0.0887573964497,0.5,0.0487012987013,0.0190957185938,0.483359746434,0.00974025974026,0.120251396648,0.508865248227,0.0681818181818
7,0.0,0.0,1.0,0.154668214487,0.536412078153,0.0903614457831,0.0119103475656,0.520504731861,0.00602409638554,0.159233440558,0.54039497307,0.0933734939759
8,0.0,0.49608763693270735,0.0,0.102297026316,0.515517241379,0.0567823343849,0.00626946808722,0.498422712934,0.00315457413249,0.117432579228,0.516579406632,0.0662460567823
9,0.0,0.5023400936037441,0.0,0.100976176856,0.521440823328,0.055900621118,0.0,0.507886435331,0.0,0.130639681438,0.528368794326,0.0745341614907
